year,as_of,rank,ticker,name,sector,avg_dollar_volume_usd_mn
2010,2010-01-01,1,BAC,Bank of America Corp.,Financials,2811.7
2010,2010-01-01,2,AAPL,Apple Inc.,Information Technology,2378.0
2010,2010-01-01,3,GS,Goldman Sachs Group,Financials,1478.7
2010,2010-01-01,4,GOOG,Google Inc.,Information Technology,1435.7
2010,2010-01-01,5,C,Citigroup Inc.,Financials,1369.4
2010,2010-01-01,6,JPM,JPMorgan Chase & Co.,Financials,1340.2
2010,2010-01-01,7,WFC,Wells Fargo,Financials,1289.1
2010,2010-01-01,8,XOM,Exxon Mobil Corp.,Energy,1080.9
2010,2010-01-01,9,GE,General Electric,Industrials,1036.4
2010,2010-01-01,10,MSFT,Microsoft Corp.,Information Technology,1027.2
2010,2010-01-01,11,AMZN,Amazon Corp.,Consumer Discretionary,752.3
2010,2010-01-01,12,INTC,Intel Corp.,Information Technology,695.9
2010,2010-01-01,13,WMT,Wal-Mart Stores,Consumer Staples,681.6
2010,2010-01-01,14,FCX,Freeport-McMoran Cp & Gld,Materials,653.7
2010,2010-01-01,15,CSCO,Cisco Systems,Information Technology,633.1
2010,2010-01-01,16,MS,Morgan Stanley,Financials,538.2
2010,2010-01-01,17,ORCL,Oracle Corp.,Information Technology,528.5
2010,2010-01-01,18,FSLR,First Solar Inc,Industrials,515.8
2010,2010-01-01,19,QCOM,QUALCOMM Inc.,Information Technology,493.6
2010,2010-01-01,20,IBM,International Bus. Machines,Information Technology,489.2
2010,2010-01-01,21,JNJ,Johnson & Johnson,Health Care,457.8
2010,2010-01-01,22,PG,Procter & Gamble,Consumer Staples,436.6
2010,2010-01-01,23,PFE,Pfizer Inc.,Health Care,421.0
2010,2010-01-01,24,HPQ,Hewlett-Packard,Information Technology,418.4
2010,2010-01-01,25,CVX,Chevron Corp.,Energy,415.0
2010,2010-01-01,26,MA,Mastercard Inc.,Information Technology,408.0
2010,2010-01-01,27,AIG,American International Group,Financials,379.0
2010,2010-01-01,28,SLB,Schlumberger Ltd.,Energy,362.2
2010,2010-01-01,29,AXP,American Express,Financials,360.2
2010,2010-01-01,30,MCD,McDonald's Corp.,Consumer Discretionary,338.4
2010,2010-01-01,31,COP,ConocoPhillips,Energy,332.5
2010,2010-01-01,32,AA,Alcoa Inc,Materials,329.7
2010,2010-01-01,33,CAT,Caterpillar Inc.,Industrials,329.5
2010,2010-01-01,34,KO,Coca Cola Co.,Consumer Staples,316.5
2010,2010-01-01,35,MRK,Merck & Co.,Health Care,305.7
2010,2010-01-01,36,AMGN,Amgen,Health Care,303.5
2010,2010-01-01,37,ABT,Abbott Laboratories,Health Care,298.2
2010,2010-01-01,38,HD,Home Depot,Consumer Discretionary,281.3
2010,2010-01-01,39,USB,U.S. Bancorp,Financials,280.6
2010,2010-01-01,40,EBAY,eBay Inc.,Information Technology,276.7
2010,2010-01-01,41,DIS,Walt Disney Co.,Consumer Discretionary,274.7
2010,2010-01-01,42,OXY,Occidental Petroleum,Energy,268.5
2010,2010-01-01,43,HAL,Halliburton Co.,Energy,264.1
2010,2010-01-01,44,CVS,CVS Caremark Corp.,Consumer Staples,260.9
2010,2010-01-01,45,PEP,PepsiCo Inc.,Consumer Staples,260.7
2010,2010-01-01,46,GILD,Gilead Sciences,Health Care,256.6
2010,2010-01-01,47,NEM,Newmont Mining Corp. (Hldg. Co.),Materials,253.1
2010,2010-01-01,48,TGT,Target Corp.,Consumer Discretionary,250.9
2010,2010-01-01,49,UNH,United Health Group Inc.,Health Care,245.6
2010,2010-01-01,50,CMCSA,Comcast Corp.,Consumer Discretionary,239.1
2010,2010-01-01,51,COF,Capital One Financial,Financials,236.6
2010,2010-01-01,52,APA,Apache Corp.,Energy,234.8
2010,2010-01-01,53,F,Ford Motor,Consumer Discretionary,231.9
2010,2010-01-01,54,BA,Boeing Company,Industrials,230.0
2010,2010-01-01,55,LOW,Lowe's Cos.,Consumer Discretionary,225.7
2010,2010-01-01,56,STT,State Street Corp.,Financials,225.2
2010,2010-01-01,57,TXN,Texas Instruments,Information Technology,225.0
2010,2010-01-01,58,T,AT&T Inc.,Telecommunications Services,223.4
2010,2010-01-01,59,VZ,Verizon Communications,Telecommunications Services,214.9
2010,2010-01-01,60,ADBE,Adobe Systems,Information Technology,204.0
2010,2010-01-01,61,NVDA,Nvidia Corporation,Information Technology,202.9
2010,2010-01-01,62,BMY,Bristol-Myers Squibb,Health Care,202.7
2010,2010-01-01,63,PNC,PNC Financial Services,Financials,200.0
2010,2010-01-01,64,DVN,Devon Energy Corp.,Energy,196.9
2010,2010-01-01,65,HIG,Hartford Financial Svc.Gp.,Financials,192.1
2010,2010-01-01,66,DD,Du Pont (E.I.),Materials,191.1
2010,2010-01-01,67,AMAT,Applied Materials,Information Technology,189.6
2010,2010-01-01,68,UNP,Union Pacific,Industrials,186.3
2010,2010-01-01,69,SCHW,Charles Schwab,Financials,186.0
2010,2010-01-01,70,NOV,National Oilwell Varco Inc.,Energy,184.1
2010,2010-01-01,71,FDX,FedEx Corporation,Industrials,178.3
2010,2010-01-01,72,BAX,Baxter International Inc.,Health Care,177.7
2010,2010-01-01,73,ISRG,Intuitive Surgical Inc.,Health Care,177.4
2010,2010-01-01,74,TRV,The Travelers Companies Inc.,Financials,174.9
2010,2010-01-01,75,PM,Philip Morris International,Consumer Staples,174.9
2010,2010-01-01,76,MMM,3M Company,Industrials,173.1
2010,2010-01-01,77,COST,Costco Co.,Consumer Staples,173.0
2010,2010-01-01,78,DE,Deere & Co.,Industrials,171.9
2010,2010-01-01,79,EOG,EOG Resources,Energy,170.1
2010,2010-01-01,80,MDT,Medtronic Inc.,Health Care,167.2
2010,2010-01-01,81,TMO,Thermo Fisher Scientific,Health Care,163.8
2010,2010-01-01,82,NUE,Nucor Corp.,Materials,162.9
2010,2010-01-01,83,CSX,CSX Corp.,Industrials,162.7
2010,2010-01-01,84,SPG,Simon Property Group Inc,Financials,161.9
2010,2010-01-01,85,MET,MetLife Inc.,Financials,161.5
2010,2010-01-01,86,BIIB,BIOGEN IDEC Inc.,Health Care,160.7
2010,2010-01-01,87,AZO,AutoZone Inc.,Consumer Discretionary,158.9
2010,2010-01-01,88,BBY,Best Buy Co. Inc.,Consumer Discretionary,156.8
2010,2010-01-01,89,CME,CME Group Inc.,Financials,154.8
2010,2010-01-01,90,GLW,Corning Inc.,Information Technology,153.3
2010,2010-01-01,91,NKE,NIKE Inc.,Consumer Discretionary,152.9
2010,2010-01-01,92,CL,Colgate-Palmolive,Consumer Staples,150.7
2010,2010-01-01,93,LMT,Lockheed Martin Corp.,Industrials,149.3
2010,2010-01-01,94,BSX,Boston Scientific,Health Care,147.8
2010,2010-01-01,95,UPS,United Parcel Service,Industrials,145.1
2010,2010-01-01,96,LLY,Lilly (Eli) & Co.,Health Care,144.3
2010,2010-01-01,97,HON,Honeywell Int'l Inc.,Industrials,143.2
2010,2010-01-01,98,FLR,Fluor Corp.,Industrials,141.3
2010,2010-01-01,99,ICE,IntercontinentalExchange Inc.,Financials,139.8
2010,2010-01-01,100,SBUX,Starbucks Corp.,Consumer Discretionary,138.1
2011,2011-01-01,1,AAPL,Apple Inc.,Information Technology,4570.2
2011,2011-01-01,2,BAC,Bank of America Corp,Financials,2119.2
2011,2011-01-01,3,C,Citigroup Inc.,Financials,1706.4
2011,2011-01-01,4,GOOG,Google Inc.,Information Technology,1690.9
2011,2011-01-01,5,MSFT,Microsoft Corp.,Information Technology,1274.4
2011,2011-01-01,6,GS,Goldman Sachs Group,Financials,1255.5
2011,2011-01-01,7,JPM,JPMorgan Chase & Co.,Financials,1091.2
2011,2011-01-01,8,AMZN,Amazon.com Inc,Consumer Discretionary,992.9
2011,2011-01-01,9,XOM,Exxon Mobil Corp.,Energy,928.0
2011,2011-01-01,10,INTC,Intel Corp.,Information Technology,910.8
2011,2011-01-01,11,CSCO,Cisco Systems,Information Technology,877.3
2011,2011-01-01,12,GE,General Electric,Industrials,873.4
2011,2011-01-01,13,FCX,Freeport-McMoran Cp & Gld,Materials,775.9
2011,2011-01-01,14,WFC,Wells Fargo,Financials,753.2
2011,2011-01-01,15,ORCL,Oracle Corp.,Information Technology,646.0
2011,2011-01-01,16,F,Ford Motor,Consumer Discretionary,604.7
2011,2011-01-01,17,QCOM,QUALCOMM Inc.,Information Technology,573.8
2011,2011-01-01,18,HPQ,Hewlett-Packard,Information Technology,536.2
2011,2011-01-01,19,WMT,Wal-Mart Stores,Consumer Staples,509.7
2011,2011-01-01,20,SLB,Schlumberger Ltd.,Energy,496.0
2011,2011-01-01,21,IBM,International Bus. Machines,Information Technology,479.2
2011,2011-01-01,22,JNJ,Johnson & Johnson,Health Care,469.8
2011,2011-01-01,23,V,Visa Inc.,Information Technology,468.7
2011,2011-01-01,24,PFE,Pfizer Inc.,Health Care,465.7
2011,2011-01-01,25,PG,Procter & Gamble,Consumer Staples,463.5
2011,2011-01-01,26,CVX,Chevron Corp.,Energy,417.2
2011,2011-01-01,27,HAL,Halliburton Co.,Energy,390.0
2011,2011-01-01,28,CAT,Caterpillar Inc.,Industrials,389.5
2011,2011-01-01,29,AXP,American Express Co,Financials,361.0
2011,2011-01-01,30,AA,Alcoa Inc,Materials,356.7
2011,2011-01-01,31,KO,Coca Cola Co.,Consumer Staples,351.7
2011,2011-01-01,32,EBAY,eBay Inc.,Information Technology,349.4
2011,2011-01-01,33,DIS,Walt Disney Co.,Consumer Discretionary,343.6
2011,2011-01-01,34,MA,Mastercard Inc.,Information Technology,340.9
2011,2011-01-01,35,HD,Home Depot,Consumer Discretionary,334.5
2011,2011-01-01,36,MS,Morgan Stanley,Financials,326.2
2011,2011-01-01,37,COP,ConocoPhillips,Energy,320.7
2011,2011-01-01,38,MRK,Merck & Co.,Health Care,318.1
2011,2011-01-01,39,GILD,Gilead Sciences,Health Care,307.1
2011,2011-01-01,40,BA,Boeing Company,Industrials,304.8
2011,2011-01-01,41,NEM,Newmont Mining Corp. (Hldg. Co.),Materials,302.9
2011,2011-01-01,42,MCD,McDonald's Corp.,Consumer Discretionary,301.0
2011,2011-01-01,43,MU,Micron Technology,Information Technology,283.0
2011,2011-01-01,44,CLF,Cliffs Natural Resources,Materials,280.4
2011,2011-01-01,45,CMCSA,Comcast Corp.,Consumer Discretionary,279.6
