rank,ticker,name,sector,avg_dollar_volume_usd_bn,days
1,NVDA,Nvidia,Information Technology,35.4,252
2,TSLA,"Tesla, Inc.",Consumer Discretionary,27.67,252
3,AAPL,Apple Inc.,Information Technology,12.41,252
4,MSFT,Microsoft,Information Technology,9.06,252
5,META,Meta Platforms,Communication Services,8.3,252
6,AMZN,Amazon,Consumer Discretionary,8.25,252
7,PLTR,Palantir Technologies,Information Technology,5.72,252
8,AVGO,Broadcom,Information Technology,5.69,252
9,AMD,Advanced Micro Devices,Information Technology,5.61,252
10,GOOGL,Alphabet Inc. (Class A),Communication Services,5.12,252
11,SMCI,Supermicro,Information Technology,3.39,252
12,NFLX,Netflix,Communication Services,3.23,252
13,UNH,UnitedHealth Group,Health Care,3.03,252
14,LLY,Lilly (Eli),Health Care,3.01,252
15,COIN,Coinbase,Financials,2.42,252
16,MU,Micron Technology,Information Technology,2.36,252
17,JPM,JPMorgan Chase,Financials,2.21,252
18,V,Visa Inc.,Financials,2.13,252
19,BRK-B,Berkshire Hathaway,Financials,2.05,252
20,CRM,Salesforce,Information Technology,1.99,252
