rank,ticker,name,sector,avg_dollar_volume_usd_bn,days
1,NVDA,Nvidia,Information Technology,35.4,252
2,TSLA,"Tesla, Inc.",Consumer Discretionary,27.67,252
3,AAPL,Apple Inc.,Information Technology,12.41,252
4,MSFT,Microsoft,Information Technology,9.06,252
5,META,Meta Platforms,Communication Services,8.3,252
6,AMZN,Amazon,Consumer Discretionary,8.25,252
7,PLTR,Palantir Technologies,Information Technology,5.72,252
8,AVGO,Broadcom,Information Technology,5.69,252
9,AMD,Advanced Micro Devices,Information Technology,5.61,252
10,GOOGL,Alphabet Inc. (Class A),Communication Services,5.12,252
11,SMCI,Supermicro,Information Technology,3.39,252
12,NFLX,Netflix,Communication Services,3.23,252
13,UNH,UnitedHealth Group,Health Care,3.03,252
14,LLY,Lilly (Eli),Health Care,3.01,252
15,COIN,Coinbase,Financials,2.42,252
16,MU,Micron Technology,Information Technology,2.36,252
17,JPM,JPMorgan Chase,Financials,2.21,252
18,V,Visa Inc.,Financials,2.13,252
19,BRK-B,Berkshire Hathaway,Financials,2.05,252
20,CRM,Salesforce,Information Technology,1.99,252
21,COST,Costco,Consumer Staples,1.91,252
22,INTC,Intel,Information Technology,1.85,252
23,XOM,ExxonMobil,Energy,1.75,252
24,CRWD,CrowdStrike,Information Technology,1.7,252
25,BAC,Bank of America,Financials,1.67,252
26,ADBE,Adobe Inc.,Information Technology,1.6,252
27,BA,Boeing,Industrials,1.53,252
28,WMT,Walmart,Consumer Staples,1.53,252
29,ORCL,Oracle Corporation,Information Technology,1.49,252
30,QCOM,Qualcomm,Information Technology,1.48,252
31,UBER,Uber,Industrials,1.48,252
32,NOW,ServiceNow,Information Technology,1.38,252
33,MA,Mastercard,Financials,1.33,252
34,HD,Home Depot (The),Consumer Discretionary,1.3,252
35,GS,Goldman Sachs,Financials,1.29,252
36,MRK,Merck & Co.,Health Care,1.25,252
37,AMAT,Applied Materials,Information Technology,1.25,252
38,JNJ,Johnson & Johnson,Health Care,1.24,252
39,PG,Procter & Gamble,Consumer Staples,1.23,252
40,CVX,Chevron Corporation,Energy,1.22,252
41,DELL,Dell Technologies,Information Technology,1.2,252
42,TXN,Texas Instruments,Information Technology,1.19,252
43,ABBV,AbbVie,Health Care,1.16,252
44,WFC,Wells Fargo,Financials,1.15,252
45,CSCO,Cisco,Information Technology,1.13,252
46,BKNG,Booking Holdings,Consumer Discretionary,1.11,252
47,NKE,"Nike, Inc.",Consumer Discretionary,1.1,252
48,PFE,Pfizer,Health Care,1.09,252
49,KO,Coca-Cola Company (The),Consumer Staples,1.06,252
50,MCD,McDonald's,Consumer Discretionary,1.03,252
51,INTU,Intuit,Information Technology,1.02,252
52,PEP,PepsiCo,Consumer Staples,1.02,252
53,SBUX,Starbucks,Consumer Discretionary,1.02,252
54,DIS,Walt Disney Company (The),Communication Services,1.01,252
55,PANW,Palo Alto Networks,Information Technology,1.0,252
56,ACN,Accenture,Information Technology,0.99,252
57,C,Citigroup,Financials,0.99,252
58,GE,GE Aerospace,Industrials,0.98,252
59,TMO,Thermo Fisher Scientific,Health Care,0.98,252
60,LRCX,Lam Research,Information Technology,0.98,252
61,GEV,GE Vernova,Industrials,0.98,252
62,IBM,IBM,Information Technology,0.94,252
63,TMUS,T-Mobile US,Communication Services,0.93,252
64,CAT,Caterpillar Inc.,Industrials,0.92,252
65,VST,Vistra Corp.,Utilities,0.92,252
66,CEG,Constellation Energy,Utilities,0.89,252
67,LIN,Linde plc,Materials,0.89,252
68,T,AT&T,Communication Services,0.85,252
69,VZ,Verizon,Communication Services,0.85,252
70,AMGN,Amgen,Health Care,0.84,252
71,CMCSA,Comcast,Communication Services,0.83,252
72,ISRG,Intuitive Surgical,Health Care,0.83,252
73,ETN,Eaton Corporation,Industrials,0.83,252
74,ANET,Arista Networks,Information Technology,0.83,252
75,NEE,NextEra Energy,Utilities,0.82,252
76,HON,Honeywell,Industrials,0.81,252
77,PYPL,PayPal,Financials,0.81,252
78,F,Ford Motor Company,Consumer Discretionary,0.8,252
79,DHR,Danaher Corporation,Health Care,0.8,252
80,KLAC,KLA Corporation,Information Technology,0.78,252
81,MS,Morgan Stanley,Financials,0.77,252
82,AXP,American Express,Financials,0.77,252
83,ADI,Analog Devices,Information Technology,0.77,252
84,COP,ConocoPhillips,Energy,0.76,252
85,TGT,Target Corporation,Consumer Staples,0.76,252
86,CMG,Chipotle Mexican Grill,Consumer Discretionary,0.75,252
87,PM,Philip Morris International,Consumer Staples,0.75,252
88,ABT,Abbott Laboratories,Health Care,0.73,252
89,GILD,Gilead Sciences,Health Care,0.71,252
90,SCHW,Charles Schwab Corporation,Financials,0.7,252
91,DASH,DoorDash,Consumer Discretionary,0.68,252
92,BMY,Bristol Myers Squibb,Health Care,0.67,252
93,ELV,Elevance Health,Health Care,0.67,252
94,LULU,Lululemon Athletica,Consumer Discretionary,0.67,252
95,PGR,Progressive Corporation,Financials,0.67,252
96,CVS,CVS Health,Health Care,0.67,252
97,VRTX,Vertex Pharmaceuticals,Health Care,0.66,252
98,BLK,BlackRock,Financials,0.65,252
99,ABNB,Airbnb,Consumer Discretionary,0.65,252
100,RTX,RTX Corporation,Industrials,0.65,252
